Activist,Investor ID,Investor Type,Investor Sub Type,Activist HQ,Focused,Activist Founded,Company,PID,Symbol,Date Invested,Demand Date,Demand Year,Current Holding (%),Demand Group,Demand,Response Date,Response,Seats Proposed (Gain Board Representation Only),Seats Gained (Gain Board Representation Only),Seats Gained Method  (Gain Board Representation Only),Outcome,Company HQ,Company Region,Exchange,Sector,Industry,Mkt Cap ($mn),Mkt Cap Category,Status,Exit Date,Exit Type,Price Per Share,Purchase Value (Mn),Currency,Buyer
Voss Capital,6614,Investment Firm,Hedge Fund,US,Occasional,2011,Griffon Corporation,2523,GFF,15-Aug-21,23-Nov-21,2021,1.68,Governance,Change Board Composition,,N/A,,,N/A,Ongoing,US,North America,NYSE,Basic Materials,Building Materials,"1,527",Small-Cap,Current,,,,,,
Voss Capital,6614,Investment Firm,Hedge Fund,US,Occasional,2011,Griffon Corporation,2523,GFF,15-Aug-21,23-Nov-21,2021,1.68,Social,Diversity and Equality,,N/A,,,N/A,Ongoing,US,North America,NYSE,Basic Materials,Building Materials,"1,527",Small-Cap,Current,,,,,,
Voss Capital,6614,Investment Firm,Hedge Fund,US,Occasional,2011,Griffon Corporation,2523,GFF,15-Aug-21,23-Nov-21,2021,1.68,Governance,Eliminate Staggered Board,,N/A,,,N/A,Ongoing,US,North America,NYSE,Basic Materials,Building Materials,"1,527",Small-Cap,Current,,,,,,
Voss Capital,6614,Investment Firm,Hedge Fund,US,Occasional,2011,Griffon Corporation,2523,GFF,15-Aug-21,23-Nov-21,2021,1.68,Governance,Separate Chairman & CEO,,N/A,,,N/A,Ongoing,US,North America,NYSE,Basic Materials,Building Materials,"1,527",Small-Cap,Current,,,,,,
Frank Kavanaugh,12295,Individual Professional Investor,,US,Occasional,,Friendly Hills Bank,42308,FHLB,22-Nov-21,22-Nov-21,2021,,Governance,Change Board Composition,,N/A,,,N/A,Ongoing,US,North America,OTC Pink,Financial Services,Banks - Regional - US,19,Nano-Cap,Current,,,,,,
Engaged Capital,7722,Investment Firm,Hedge Fund,US,Primary Focus,2012,Quotient Technology Inc,30909,QUOT,17-Nov-21,17-Nov-21,2021,6.5,Governance,Amend Company Policy,,N/A,,,N/A,Ongoing,US,North America,NYSE,Technology,Internet Content & Information,678,Small-Cap,Current,,,,,,
Engaged Capital,7722,Investment Firm,Hedge Fund,US,Primary Focus,2012,Quotient Technology Inc,30909,QUOT,17-Nov-21,17-Nov-21,2021,6.5,Governance,Amend Poision Pill/Anti-Takeover Policy,,N/A,,,N/A,Ongoing,US,North America,NYSE,Technology,Internet Content & Information,678,Small-Cap,Current,,,,,,
Engaged Capital,7722,Investment Firm,Hedge Fund,US,Primary Focus,2012,Quotient Technology Inc,30909,QUOT,17-Nov-21,17-Nov-21,2021,6.5,Governance,Eliminate Staggered Board,,N/A,,,N/A,Ongoing,US,North America,NYSE,Technology,Internet Content & Information,678,Small-Cap,Current,,,,,,
Engaged Capital,7722,Investment Firm,Hedge Fund,US,Primary Focus,2012,Quotient Technology Inc,30909,QUOT,17-Nov-21,17-Nov-21,2021,6.5,Governance,Separate Chairman & CEO,,N/A,,,N/A,Ongoing,US,North America,NYSE,Technology,Internet Content & Information,678,Small-Cap,Current,,,,,,
SOC Investment Group,5392,Rights/ Cause/ ESG,ESG,US,Engagement,2006,"Activision Blizzard, Inc",340,ATVI,3-Jun-20,17-Nov-21,2021,,Social,Diversity and Equality,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Technology,Electronic Gaming & Multimedia,"49,530",Large-Cap,Current,,,,,,
SOC Investment Group,5392,Rights/ Cause/ ESG,ESG,US,Engagement,2006,"Activision Blizzard, Inc",340,ATVI,3-Jun-20,17-Nov-21,2021,,Social,Human Capital,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Technology,Electronic Gaming & Multimedia,"49,530",Large-Cap,Current,,,,,,
Gabi Gliksberg,12290,Concerned Shareholder(s),Individual,US,Occasional,,Texas Pacific Land Corporation,50758,TPL,16-Nov-21,16-Nov-21,2021,,Governance,Eliminate Staggered Board,,N/A,,,N/A,Ongoing,US,North America,NYSE,Energy,Oil & Gas E&P,"9,774",Mid-Cap,Current,,,,,,
Carlson Capital,6463,Investment Firm,Hedge Fund,US,Partial Focus,1993,SWK Holdings Corporation,25634,SWKH,1-Mar-12,12-Nov-21,2021,71,Governance,Change Board Composition,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Financial Services,Asset Management,247,Micro-Cap,Current,,,,,,
California Public Employees' Retirement System (CalPERS),606,Pension Fund,Private,US,Engagement,1932,CIM Commercial Trust Corp,4439,CMCT,5-Nov-21,5-Nov-21,2021,,Governance,Adopt Majority Vote Standard,9-Dec-21,Activist Withdrew Demands,,,N/A,Activist Withdrew Demands,US,North America,NASDAQ,Real Estate,REIT - Diversified,168,Micro-Cap,Current,,,,,,
James McRitchie,5472,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,FactSet Research Systems Inc.,935,FDS,29-Oct-21,29-Oct-21,2021,,Governance,Amend Company Policy,21-Dec-21,AGM Result,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Industrials,Business Services,"17,873",Large-Cap,Current,,,,,,
Upslope Capital Management,8950,Investment Firm,Hedge Fund,US,Occasional,2017,AptarGroup Inc.,1048,ATR,,29-Oct-21,2021,,Governance,Change Board Composition,,N/A,,,N/A,Ongoing,US,North America,NYSE,Consumer Cyclical,Packaging & Containers,"7,596",Mid-Cap,Current,,,,,,
Harbert Management Corporation,6213,Investment Firm,"Hedge Fund,Private Equity/ Venture Capital",US,Partial Focus,1993,Enzo Biochem Inc.,4407,ENZ,8-Apr-19,27-Oct-21,2021,10.68,Governance,Eliminate Staggered Board,,N/A,,,N/A,Ongoing,US,North America,NYSE,Healthcare,Diagnostics & Research,154,Micro-Cap,Current,,,,,,
Harbert Management Corporation,6213,Investment Firm,"Hedge Fund,Private Equity/ Venture Capital",US,Partial Focus,1993,Enzo Biochem Inc.,4407,ENZ,8-Apr-19,27-Oct-21,2021,10.68,Governance,Change Board Composition,,N/A,,,N/A,Ongoing,US,North America,NYSE,Healthcare,Diagnostics & Research,154,Micro-Cap,Current,,,,,,
Harbert Management Corporation,6213,Investment Firm,"Hedge Fund,Private Equity/ Venture Capital",US,Partial Focus,1993,Enzo Biochem Inc.,4407,ENZ,8-Apr-19,27-Oct-21,2021,10.68,Governance,Disclose Information,,N/A,,,N/A,Ongoing,US,North America,NYSE,Healthcare,Diagnostics & Research,154,Micro-Cap,Current,,,,,,
Segal Marco Advisors,911,Investment Firm,Other Asset Management,US,Engagement,1988,"Stride, Inc.",1939,LRN,27-Oct-21,27-Oct-21,2021,,Social,Political Activities,20-Dec-21,Activist Withdrew Demands,,,N/A,Activist Withdrew Demands,US,North America,NYSE,Consumer Defensive,Education & Training Services,"1,405",Small-Cap,Current,,,,,,
The Service Employees International Union (SEIU),5231,Rights/ Cause/ ESG,ESG,US,Engagement,,"Stride, Inc.",1939,LRN,27-Oct-21,27-Oct-21,2021,,Social,Political Activities,20-Dec-21,Activist Withdrew Demands,,,N/A,Activist Withdrew Demands,US,North America,NYSE,Consumer Defensive,Education & Training Services,"1,405",Small-Cap,Current,,,,,,
"Julian Singer (JDS1, LLC)",6894,Investment Firm,Other Asset Management,US,Occasional,,Catalyst Biosciences Inc,3940,CBIO,23-Jul-19,26-Oct-21,2021,2.11,Governance,Change Board Composition,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Healthcare,Biotechnology,31,Nano-Cap,Current,,,,,,
"Julian Singer (JDS1, LLC)",6894,Investment Firm,Other Asset Management,US,Occasional,,Catalyst Biosciences Inc,3940,CBIO,23-Jul-19,26-Oct-21,2021,2.11,Governance,Disclose Information,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Healthcare,Biotechnology,31,Nano-Cap,Current,,,,,,
"Julian Singer (JDS1, LLC)",6894,Investment Firm,Other Asset Management,US,Occasional,,Catalyst Biosciences Inc,3940,CBIO,23-Jul-19,26-Oct-21,2021,2.11,Governance,Eliminate Staggered Board,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Healthcare,Biotechnology,31,Nano-Cap,Current,,,,,,
As You Sow,1625,Rights/ Cause/ ESG,ESG,US,Engagement,1992,AutoZone Inc.,424,AZO,25-Oct-21,25-Oct-21,2021,,Environmental,Climate Change & GHG Emissions,15-Dec-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Consumer Cyclical,Specialty Retail,"41,070",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,News Corp.,167,NWS,5-Oct-20,25-Oct-21,2021,,Governance,Adopt Majority Vote Standard,17-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Consumer Cyclical,Broadcasting - TV,"13,015",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Cisco Systems Inc.,35,CSCO,26-Sep-12,25-Oct-21,2021,0,Governance,Amend Company Policy,9-Dec-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Communication Equipment,"257,401",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Campbell Soup Company,473,CPB,18-Oct-21,18-Oct-21,2021,,Governance,Adopt Majority Vote Standard,1-Dec-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Defensive,Packaged Foods,"12,764",Large-Cap,Current,,,,,,
The Humane Society of the United States,6177,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Campbell Soup Company,473,CPB,18-Oct-21,18-Oct-21,2021,,Governance,Amend Company Policy,1-Dec-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Defensive,Packaged Foods,"12,764",Large-Cap,Current,,,,,,
Arjuna Capital,7466,Investment Firm,"Hedge Fund,Private Equity/ Venture Capital",US,Partial Focus,1974,Microsoft Corporation,4,MSFT,,14-Oct-21,2021,0,Social,Diversity and Equality,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
Arjuna Capital,7466,Investment Firm,"Hedge Fund,Private Equity/ Venture Capital",US,Partial Focus,1974,Microsoft Corporation,4,MSFT,,14-Oct-21,2021,0,Social,Human Capital,30-Nov-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
Congregation of the Sisters of St. Joseph of Peace,9634,Rights/ Cause/ ESG,Religious,US,Engagement,,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
Ellen Sarkisian 1997 Trust,12323,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Exited,,,,,,
Friends Fiduciary Corporation,9244,Rights/ Cause/ ESG,ESG,US,Engagement,,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Exited,,,,,,
"Harrington Investments, Inc.",4926,Investment Firm,Other Asset Management,US,Occasional,1982,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,0,Social,Privacy,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
Mary Beth Gallagher (Investor Advocates for Social Justice),10780,Rights/ Cause/ ESG,ESG,US,Engagement,,Chevron Corporation,8,CVX,,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Energy,Oil & Gas Integrated,"222,590",Large-Cap,Current,,,,,,
Mary Beth Gallagher (Investor Advocates for Social Justice),10780,Rights/ Cause/ ESG,ESG,US,Engagement,,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
Maryknoll Sisters of St. Dominic,10104,Rights/ Cause/ ESG,Religious,US,Engagement,,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
NorthStar Asset Management,4557,Fund Manager,,US,Engagement,1990,Microsoft Corporation,4,MSFT,16-Oct-19,14-Oct-21,2021,0,Social,Diversity and Equality,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
School Sisters of Notre Dame,10435,Rights/ Cause/ ESG,Religious,US,Engagement,1833,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,,Social,Political Activities,11-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Exited,,,,,,
Sisters of Mary Reparatrix,12325,Rights/ Cause/ ESG,Religious,US,Engagement,,Microsoft Corporation,4,MSFT,14-Oct-21,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
Zevin Asset Management,5332,Investment Firm,Hedge Fund,US,Partial Focus,1997,Microsoft Corporation,4,MSFT,15-Feb-07,14-Oct-21,2021,,Social,Political Activities,30-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Technology,Software - Infrastructure,"2,457,287",Large-Cap,Current,,,,,,
Ortelius Alternative Investment Management,8997,Investment Firm,Hedge Fund,US,Partial Focus,2002,"Sonida Senior Living, Inc.",2677,SNDA,25-Mar-21,12-Oct-21,2021,9,Governance,Disclose Information,,N/A,,,N/A,Ongoing,US,North America,NYSE,Healthcare,Medical Care,172,Micro-Cap,Current,,,,,,
As You Sow,1625,Rights/ Cause/ ESG,ESG,US,Engagement,1992,Sysco Corporation,333,SYY,6-Oct-21,6-Oct-21,2021,,Environmental,Climate Change & GHG Emissions,19-Nov-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,NYSE,Consumer Defensive,Food Distribution,"38,188",Large-Cap,Current,,,,,,
James McRitchie,5472,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Clorox Company (The),546,CLX,,6-Oct-21,2021,,Social,Diversity and Equality,,N/A,,,N/A,Ongoing,US,North America,NYSE,Basic Materials,Speciality Chemicals,"21,029",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Clorox Company (The),546,CLX,6-Oct-21,6-Oct-21,2021,,Social,Diversity and Equality,17-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Basic Materials,Speciality Chemicals,"21,029",Large-Cap,Current,,,,,,
Legion Partners Asset Management,5087,Investment Firm,Hedge Fund,US,Primary Focus,2012,Momentive Global Inc,44994,MNTV,15-May-19,6-Oct-21,2021,1.35,Governance,Disclose Information,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Technology,Software - Application,"3,014",Mid-Cap,Current,,,,,,
Chatham Asset Management,5333,Investment Firm,Hedge Fund,US,Occasional,2003,RR Donnelley & Sons,1313,RRD,1-Jul-19,27-Sep-21,2021,14.99,Governance,Amend Poision Pill/Anti-Takeover Policy,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Industrials,Business Services,782,Small-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Oracle Corporation,25,ORCL,,24-Sep-21,2021,,Governance,Board Independence,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Software - Infrastructure,"244,373",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Oracle Corporation,25,ORCL,,24-Sep-21,2021,,Governance,Board Independence,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Software - Infrastructure,"244,373",Large-Cap,Current,,,,,,
"Newground Social Investment, SPC",5567,Investment Firm,Hedge Fund,US,Engagement,1994,Oracle Corporation,25,ORCL,24-Sep-21,24-Sep-21,2021,,Social,Political Activities,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Software - Infrastructure,"244,373",Large-Cap,Current,,,,,,
Segal Marco Advisors,911,Investment Firm,Other Asset Management,US,Engagement,1988,Oracle Corporation,25,ORCL,,24-Sep-21,2021,,Social,Diversity and Equality,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Software - Infrastructure,"244,373",Large-Cap,Current,,,,,,
The Humane Society of the United States,6177,Rights/ Cause/ ESG,Other Rights/ Cause,US,Engagement,,Cracker Barrel Old Country Store Inc.,1426,CBRL,,24-Sep-21,2021,,Governance,Amend Company Policy,18-Nov-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Consumer Cyclical,Restaurants,"2,931",Mid-Cap,Current,,,,,,
The Service Employees International Union (SEIU),5231,Rights/ Cause/ ESG,ESG,US,Engagement,,Oracle Corporation,25,ORCL,24-Sep-21,24-Sep-21,2021,,Social,Diversity and Equality,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Technology,Software - Infrastructure,"244,373",Large-Cap,Current,,,,,,
3K Limited Partnership,6099,Investment Firm,Hedge Fund,US,Primary Focus,2011,Psychemedics Corporation,4701,PMD,30-Dec-20,23-Sep-21,2021,8.4,Governance,Disclose Information,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Healthcare,Diagnostics & Research,40,Nano-Cap,Current,,,,,,
GAMCO Investors,209,Investment Firm,Hedge Fund,US,Partial Focus,1976,Strattec Security Corporation,4197,STRT,15-May-06,23-Sep-21,2021,15.46,Governance,Disclose Information,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Consumer Cyclical,Auto Parts,146,Micro-Cap,Current,,,,,,
James Gerson,12212,Concerned Shareholder(s),Former Company Affiliate,US,Concerned Shareholder,,Evercel Inc,42300,EVRC,23-Sep-21,23-Sep-21,2021,12,Governance,Amend Company Policy,7-Oct-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,OTC Pink,Industrials,Conglomerates,69,Micro-Cap,Current,,,,,,
James Gerson,12212,Concerned Shareholder(s),Former Company Affiliate,US,Concerned Shareholder,,Evercel Inc,42300,EVRC,23-Sep-21,23-Sep-21,2021,12,Governance,Change Board Composition,7-Oct-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,OTC Pink,Industrials,Conglomerates,69,Micro-Cap,Current,,,,,,
NorthStar Asset Management,4557,Fund Manager,,US,Engagement,1990,Automatic Data Processing Inc.,183,ADP,15-Feb-19,23-Sep-21,2021,0,Governance,Change Board Composition,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Industrials,Business Services,"97,740",Large-Cap,Current,,,,,,
Richard Krantz,12208,Concerned Shareholder(s),Current Company Affiliate,US,Concerned Shareholder,,Evercel Inc,42300,EVRC,23-Sep-21,23-Sep-21,2021,12,Governance,Amend Company Policy,7-Oct-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,OTC Pink,Industrials,Conglomerates,69,Micro-Cap,Current,,,,,,
Richard Krantz,12208,Concerned Shareholder(s),Current Company Affiliate,US,Concerned Shareholder,,Evercel Inc,42300,EVRC,23-Sep-21,23-Sep-21,2021,12,Governance,Change Board Composition,7-Oct-21,Activist Issues Public Letter,,,N/A,Activist's Objectives Successful,US,North America,OTC Pink,Industrials,Conglomerates,69,Micro-Cap,Current,,,,,,
Prescience Point Capital Management,6683,Investment Firm,Hedge Fund,US,Primary Focus,2009,"MiMedx Group, Inc",3174,MDXG,13-Feb-19,21-Sep-21,2021,8.1,Governance,Disclose Information,,N/A,,,N/A,Ongoing,US,North America,NASDAQ,Healthcare,Medical Devices,739,Small-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Fox Corp,45844,FOXA,,17-Sep-21,2021,,Social,Political Activities,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Consumer Cyclical,Broadcasting - TV,"21,018",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Fox Corp,45844,FOXA,,17-Sep-21,2021,,Social,Political Activities,10-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NASDAQ,Consumer Cyclical,Broadcasting - TV,"21,018",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Cintas Corporation,787,CTAS,15-Sep-21,15-Sep-21,2021,,Governance,Adopt Majority Vote Standard,26-Oct-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Industrials,Business Services,"45,167",Large-Cap,Current,,,,,,
Friends of the Earth,12186,Rights/ Cause/ ESG,ESG,US,Engagement,1969,Procter & Gamble Company (The),11,PG,13-Sep-21,13-Sep-21,2021,,Environmental,Deforestation,12-Oct-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Consumer Defensive,Household & Personal Products,"381,771",Large-Cap,Current,,,,,,
John Chevedden,6000,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Extreme Networks Inc.,2961,EXTR,25-Sep-17,10-Sep-21,2021,,Governance,Adopt Majority Vote Standard,4-Nov-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Technology,Communication Equipment,"1,833",Small-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Cardinal Health Inc.,360,CAH,,10-Sep-21,2021,0,Governance,Board Independence,5-Nov-21,AGM,,,N/A,Activist's Objectives Unsuccessful,US,North America,NYSE,Healthcare,Medical Distribution,"14,010",Large-Cap,Current,,,,,,
Kenneth Steiner,5802,Rights/ Cause/ ESG,Corporate Gadfly,US,Engagement,,Extreme Networks Inc.,2961,EXTR,25-Sep-17,10-Sep-21,2021,,Governance,Adopt Majority Vote Standard,4-Nov-21,AGM,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Technology,Communication Equipment,"1,833",Small-Cap,Current,,,,,,
Jerald Hammann,9425,Concerned Shareholder(s),Individual,US,Occasional,,CytRx Corporation,4616,CYTR,6-Jul-20,9-Sep-21,2021,0.13,Governance,Eliminate Staggered Board,9-Sep-21,Compromise/Came to an Agreement,,,N/A,Activist's Objectives Successful,US,North America,OTC Markets,Healthcare,Biotechnology,20,Nano-Cap,Current,,,,,,
AB Value Management LLC,5588,Investment Firm,Hedge Fund,US,Occasional,2014,Rocky Mountain Chocolate Factory Inc.,4621,RMCF,26-Apr-19,2-Sep-21,2021,8.01,Governance,Amend Poision Pill/Anti-Takeover Policy,4-Oct-21,Poison Pill Scrapped,,,N/A,Activist's Objectives Successful,US,North America,NASDAQ,Consumer Defensive,Confectioners,50,Micro-Cap,Current,,,,,,
